lgacode16,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
10050,13,137,145,37,457,497,45,715,757,59,1544,1598,41,1066,1105,63,1611,1680,52,1517,1563,49,1651,1704,58,1535,1592,68,2128,2199,45,1804,1849,28,1046,1070,31,1656,1687
10130,6,71,78,39,248,284,44,323,367,60,748,805,67,533,596,73,844,923,74,724,798,75,808,884,66,725,785,101,1101,1203,47,900,943,26,477,504,23,874,895
10250,7,87,88,20,295,312,17,528,547,31,1383,1418,32,907,946,69,1536,1602,38,1223,1262,72,1509,1578,54,1217,1271,75,1706,1789,48,1406,1452,25,748,775,52,1377,1424
10300,0,4,5,5,11,17,3,31,34,3,50,55,0,34,33,8,57,65,4,57,58,7,63,71,7,58,69,12,100,109,3,61,64,3,37,41,0,38,42
10470,13,84,94,25,312,340,34,397,429,52,1067,1115,64,693,757,84,1014,1094,82,934,1020,79,1125,1201,72,1078,1152,97,1596,1694,72,1360,1432,39,889,928,71,1495,1565
10550,8,132,141,17,326,344,20,519,541,35,1429,1465,29,757,791,53,1334,1390,31,1116,1149,43,1296,1336,36,1057,1102,46,1179,1225,41,946,984,15,466,482,20,676,695
10600,0,35,38,4,138,144,3,206,205,21,493,512,15,315,326,20,492,507,17,409,428,24,500,521,16,364,374,24,493,518,22,337,359,7,172,182,14,239,255
10650,0,29,29,5,107,116,4,126,131,9,357,363,4,186,190,13,345,363,4,245,250,9,316,324,10,213,226,16,315,325,5,236,245,0,114,120,6,158,166
10750,31,520,552,126,1628,1754,151,2253,2410,221,4479,4701,243,3044,3288,330,5558,5889,286,5429,5715,306,6993,7297,287,7046,7336,417,12420,12830,353,12642,12992,233,8442,8678,446,16150,16594
10800,0,12,12,3,52,54,6,96,97,5,184,190,6,106,114,8,190,192,16,151,163,18,216,230,11,133,144,12,219,232,6,157,163,4,81,83,6,181,185
10850,0,17,18,3,82,85,3,97,98,8,209,215,10,132,137,11,202,213,7,177,187,5,210,214,13,181,194,15,271,294,13,249,257,6,146,148,9,264,273
10900,3,155,154,11,469,487,20,698,718,41,1890,1936,45,1327,1376,48,1935,1983,46,1897,1943,70,2263,2330,67,1991,2052,107,3245,3354,90,2961,3055,69,2027,2091,145,4099,4242
10950,0,3,3,4,21,26,4,36,42,17,80,99,13,19,35,15,60,74,15,62,76,16,51,62,7,41,50,13,84,97,15,80,92,9,35,42,8,86,97
11100,0,132,136,14,335,352,13,518,533,24,935,957,20,551,572,23,887,906,27,818,849,20,1120,1145,23,1006,1028,51,1754,1804,59,1699,1752,22,1171,1194,74,3005,3070
11150,0,4,4,12,11,24,12,7,23,19,43,59,11,15,27,23,40,63,24,46,70,25,41,66,28,32,58,35,58,87,24,53,72,14,33,49,17,55,75
11200,7,0,8,20,4,29,32,8,40,38,20,56,24,9,33,32,7,42,37,10,50,26,16,33,18,21,40,20,31,52,9,19,30,6,6,13,9,16,24
11250,6,35,47,17,208,228,34,342,378,55,807,861,44,398,446,47,651,702,57,473,526,45,535,578,36,411,443,79,622,702,44,475,520,21,282,308,51,466,515
11300,0,149,149,5,228,235,3,331,333,0,556,555,0,433,433,3,674,676,0,639,637,4,868,873,0,766,771,7,1305,1311,9,1243,1250,3,835,837,16,2173,2190
11350,4,95,101,6,262,270,9,390,398,9,953,964,14,705,717,27,893,915,18,841,865,29,998,1026,21,912,931,48,1144,1189,13,900,915,19,507,531,17,968,990
11400,0,43,43,0,92,98,7,144,150,13,345,358,12,194,211,20,385,408,15,303,318,19,323,345,21,335,355,23,477,499,25,430,453,8,264,274,22,525,548
11450,5,101,105,11,223,227,10,305,319,32,850,879,24,544,565,35,1062,1102,19,1050,1075,52,1451,1501,42,1493,1540,100,2985,3086,112,3341,3457,87,2544,2630,194,4974,5174
11500,25,260,286,63,852,917,82,1259,1343,148,2742,2890,163,1901,2061,201,3235,3433,145,3243,3385,197,4080,4283,213,3754,3967,342,6357,6697,267,5571,5837,166,3376,3536,257,5561,5811
11520,4,239,244,6,488,492,6,647,653,7,1290,1298,4,856,859,5,1367,1377,9,1394,1402,15,1885,1906,18,1751,1768,30,3185,3215,26,3588,3617,21,2215,2235,46,9111,9160
11570,7,906,919,50,2865,2911,57,3636,3692,81,7255,7336,61,4874,4933,86,8152,8235,67,7451,7520,97,8849,8946,80,7805,7883,149,11870,12022,134,10201,10336,85,6453,6536,151,12968,13123
11600,0,11,11,6,15,19,3,30,32,8,58,63,6,43,53,9,59,69,8,58,70,15,79,93,14,64,80,8,106,118,11,86,102,0,46,50,3,74,78
11650,32,768,805,125,2165,2292,195,3659,3855,303,9720,10023,316,6103,6420,439,9822,10268,451,8325,8778,522,9413,9935,487,8477,8959,684,12872,13554,596,11155,11744,376,6876,7249,569,12342,12916
11700,3,10,8,9,12,27,8,21,21,21,46,70,9,20,32,24,29,46,30,29,57,25,26,55,16,28,39,16,31,45,17,27,41,7,5,15,6,22,27
11720,9,105,107,38,409,447,40,668,706,103,1616,1719,105,867,975,156,1705,1857,135,1354,1486,161,1520,1680,148,1309,1454,200,2019,2221,169,1671,1843,93,940,1037,116,1572,1684
11730,10,179,185,51,495,543,67,733,800,107,2193,2297,99,1198,1298,121,2284,2407,134,1673,1809,139,1713,1848,113,1307,1420,138,1736,1871,93,1164,1257,53,595,652,53,864,920
