lga_code20,lga_name20,lga_type20,area_sqkm,latitude,longitude
10050,Albury,C,305.9459,-36.02660390179830,146.97042419919700
10180,Armidale Regional,A,7809.4405,-30.367395266451000,151.8991055293840
10250,Ballina,A,484.9389,-28.852886357804800,153.4861473681240
10300,Balranald,A,21690.6753,-33.950351667700300,143.6116254205860
10470,Bathurst Regional,A,3817.8646,-33.43013885157090,149.52563368463600
10500,Bayside,A,49.8904,-33.94941118951970,151.16669711957200
10550,Bega Valley,A,6278.8811,-36.82594299509780,149.7175695422820
10600,Bellingen,A,1600.4337,-30.40380233877870,152.72859065610000
10650,Berrigan,A,2065.7759,-35.7343271972344,145.71121606033100
10750,Blacktown,C,240.0487,-33.741328406738300,150.86435109627800
10800,Bland,A,8557.6535,-33.89434380412350,146.9612672341320
10850,Blayney,A,1524.647,-33.59433038159380,149.14205880257600
10900,Blue Mountains,C,1431.1442,-33.69754436752230,150.4111412182900
10950,Bogan,A,14599.8996,-31.53812905793070,146.8668727631300
11150,Bourke,A,41599.5072,-29.910562208394100,145.35683370268100
11200,Brewarrina,A,19163.4798,-29.791525276476100,146.96088057898900
11250,Broken Hill,C,170.1153,-31.94403571554340,141.47926792267800
11300,Burwood,A,7.1281,-33.883686222031900,151.1031520062870
11350,Byron,A,565.8029,-28.604166597267900,153.48250524813000
11400,Cabonne,A,6022.3498,-33.152997713900300,148.75410100061300
11450,Camden,A,201.0281,-34.008782272098400,150.72402302858400
11500,Campbelltown (NSW),C,311.9111,-34.08334471928740,150.84577290444800
11520,Canada Bay,A,19.9233,-33.853498316084300,151.11482521865600
11570,Canterbury-Bankstown,A,110.2368,-33.92350771548640,151.03732028115200
11600,Carrathool,A,18934.4852,-33.60899281022300,145.49642506907300
11650,Central Coast (NSW),C,1681.0695,-33.30798975808650,151.2854876216750
11700,Central Darling,A,53492.1931,-31.850698052602000,143.58969165705300
11720,Cessnock,C,1965.1589,-32.92506814231240,151.22489991781700
11730,Clarence Valley,A,10428.6803,-29.681738080587800,152.75115199511000
11750,Cobar,A,45575.3513,-31.8679813506433,145.48285030726400
11800,Coffs Harbour,C,1173.7437,-30.189038635358800,153.0398345660910
12000,Coolamon,A,2430.9037,-34.63253154564000,147.10483289326400
12150,Coonamble,A,9916.0536,-30.870548608517200,148.29160705664800
12160,Cootamundra-Gundagai Regional,A,3981.4173,-34.852975133469000,148.09411957738800
12350,Cowra,A,2808.7822,-33.796383306286,148.71795033244900
12380,Cumberland,A,71.5511,-33.8425578975761,150.98762937665700
12390,Dubbo Regional,A,7534.5251,-32.42471665093830,148.8544108362000
12700,Dungog,A,2249.9983,-32.3495605186885,151.60828730721200
12730,Edward River,A,8883.4464,-35.172544445562800,144.9414719180730
12750,Eurobodalla,A,3428.1695,-35.945156507551800,149.9470493923710
12850,Fairfield,C,101.507,-33.86563441172470,150.89541674236000
12870,Federation,A,5685.0486,-35.497071782702700,146.27136451779200
12900,Forbes,A,4710.128,-33.42163168768720,147.86720197575100
12930,Georges River,A,38.3459,-33.9710383092559,151.08636415847200
